"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Perfect Infraengineers Limited","52.18","47.82",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151519_335361_13102020113823_WEB.xml"
"Trent Limited","37.01","62.99",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151523_335439_13102020115924_WEB.xml"
"GIC Housing Finance Limited","42.41","57.59",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151525_335444_13102020120031_WEB.xml"
"MAS Financial Services Limited","73.6","26.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151526_335451_13102020120224_WEB.xml"
"Rico Auto Industries Limited","50.3","49.7",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151527_335454_13102020120308_WEB.xml"
"HOV Services Limited","50.44","49.56",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151528_335460_13102020120410_WEB.xml"
"Balkrishna Paper Mills Limited","58.71","41.29",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151529_335468_13102020120615_WEB.xml"
"Ultra Wiring Connectivity System Limited","73.56","26.45",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151531_335472_13102020120802_WEB.xml"
"GKW Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151532_335511_13102020121756_WEB.xml"
"Sequent Scientific Limited","54.51","44.13",,"1.36","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151533_335538_13102020122320_WEB.xml"
"Kanani Industries Limited","74.83","25.17",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151534_335547_13102020122450_WEB.xml"
"Varun Beverages Limited","66.4","33.6",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151535_335548_13102020122452_WEB.xml"
"Yes Bank Limited","0","100",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151536_335556_13102020122553_WEB.xml"
"Coforge Limited","70.28","29.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151537_335560_13102020122620_WEB.xml"
"Atul Auto Limited","52.7","47.3",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151538_335568_13102020122714_WEB.xml"
"Univastu India Limited","73.48","26.53",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151540_335599_13102020123259_WEB.xml"
"Kokuyo Camlin Limited","74.99","25.01",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151541_335612_13102020123505_WEB.xml"
"Graphite India Limited","65.34","34.66",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151542_335622_13102020123855_WEB.xml"
"Snowman Logistics Limited","40.25","59.75",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151543_335628_13102020124029_WEB.xml"
"Galaxy Surfactants Limited","70.93","29.07",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151544_335639_13102020124217_WEB.xml"
"W S Industries (I) Limited","37.69","62.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151545_335659_13102020124920_WEB.xml"
"Mstc Limited","64.75","35.25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151546_335716_13102020010634_WEB.xml"
"Mahanagar Telephone Nigam Limited","56.89","43.11",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151548_335738_13102020011152_WEB.xml"
"Quintegra Solutions Limited","2.48","97.52",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151549_335755_13102020011626_WEB.xml"
"Entertainment Network (India) Limited","71.15","28.85",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151550_335774_13102020012302_WEB.xml"
"KPIT Technologies Limited","42.35","55.76",,"1.89","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151552_335801_13102020013107_WEB.xml"
"Kirloskar Brothers Limited","65.95","34.05",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151553_335830_13102020014123_WEB.xml"
"Suven Pharmaceuticals Limited","60","40",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151554_335843_13102020014613_WEB.xml"
"Shaival Reality Limited","72.63","27.37",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151555_335856_13102020014858_WEB.xml"
"ASL Industries Limited","64.74","35.26",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151556_335869_13102020015059_WEB.xml"
"Affle (India) Limited","68.38","31.62",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151557_335877_13102020015242_WEB.xml"
"Cupid Limited","45.06","54.94",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151558_335897_13102020015925_WEB.xml"
"Goa Carbon Limited","59.72","40.28",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151560_335931_13102020020733_WEB.xml"
"IVRCL Limited","5.37","94.63",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151561_335953_13102020021400_WEB.xml"
"ISMT Limited","51.71","48.29",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151562_335955_13102020021604_WEB.xml"
"SMS Pharmaceuticals Limited","67.29","32.71",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151563_335960_13102020021701_WEB.xml"
"Oil Country Tubular Limited","49.22","50.78",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151565_335973_13102020022140_WEB.xml"
"Continental Seeds and Chemicals Limited","72.27","27.72",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151566_335978_13102020022304_WEB.xml"
"Butterfly Gandhimathi Appliances Limited","64.77","35.23",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151568_336011_13102020023047_WEB.xml"
"Sharda Motor Industries Limited","73.2","26.8",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151570_336024_13102020023336_WEB.xml"
"Shemaroo Entertainment Limited","65.88","34.12",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151571_336050_13102020024231_WEB.xml"
"Gokul Refoils and Solvent Limited","54","46",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151572_336057_13102020024429_WEB.xml"
"Patspin India Limited","65","35",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151574_336081_13102020025146_WEB.xml"
"Savita Oil Technologies Limited","71.75","28.25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151575_336085_13102020025226_WEB.xml"
"GTN Textiles Limited","63.36","36.64",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151576_336090_13102020025402_WEB.xml"
"Birla Tyres Limited","53.13","46.87",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151577_336098_13102020025518_WEB.xml"
"AIA Engineering Limited","58.47","41.53",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151579_336130_13102020030025_WEB.xml"
"Sundaram Multi Pap Limited","31.05","68.95",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151580_336134_13102020030040_WEB.xml"
"R.P.P. Infra Projects Limited","53.23","46.77",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151581_336137_13102020030105_WEB.xml"
"Oracle Financial Services Software Limited","73.32","26.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151582_336154_13102020030220_WEB.xml"
"Ndr Auto Components Limited","73.2","26.8",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151583_336156_13102020030325_WEB.xml"
"Shalby Limited","79.45","19.62",,"0.93","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151585_336192_13102020030900_WEB.xml"
"Marshall Machines Limited","73.39","26.61",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151586_336197_13102020030958_WEB.xml"
"Max Ventures and Industries Limited","49.68","50.32",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151587_336223_13102020031454_WEB.xml"
"DCM Shriram Limited","66.53","32.23",,"1.24","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151588_336227_13102020031523_WEB.xml"
"Archies Limited","61.99","38.01",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151589_336246_13102020031946_WEB.xml"
"Manappuram Finance Limited","35","65",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151590_336257_13102020032145_WEB.xml"
"Som Distilleries & Breweries Limited","24.48","75.52",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151591_336277_13102020032456_WEB.xml"
"Esab India Limited","73.72","26.28",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151592_336279_13102020032632_WEB.xml"
"Narayana Hrudayalaya Ltd.","63.85","35.44",,"0.71","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151593_336297_13102020033110_WEB.xml"
"Vesuvius India Limited","55.57","44.43",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151594_336314_13102020033653_WEB.xml"
"Parin Furniture Limited","73.01","26.99",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151595_336330_13102020033904_WEB.xml"
"TVS Motor Company Limited","57.4","42.6",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151596_336342_13102020034257_WEB.xml"
"Filatex India Limited","60.47","39.53",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151598_336363_13102020034709_WEB.xml"
"Jindal Photo Limited","72.72","27.28",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151599_336370_13102020034854_WEB.xml"
"Shiv Aum Steels Limited","73.53","26.47",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151600_336380_13102020035010_WEB.xml"
"Pearl Global Industries Limited","66.58","33.42",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151601_336382_13102020035042_WEB.xml"
"The Jammu & Kashmir Bank Limited","68.18","31.82",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151602_336384_13102020035246_WEB.xml"
"Shree Renuka Sugars Limited","62.48","37.52",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151604_336394_13102020035431_WEB.xml"
"GAIL (India) Limited","52.11","47.89",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151605_336399_13102020035445_WEB.xml"
"Orient Press Limited","73.05","26.95",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151606_336403_13102020035458_WEB.xml"
"Thangamayil Jewellery Limited","69.02","30.98",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151607_336421_13102020035732_WEB.xml"
"Shrenik Limited","73.54","26.46",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151609_336437_13102020040057_WEB.xml"
"Hindustan Construction Company Limited","34.71","65.29",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151611_336454_13102020040421_WEB.xml"
"BSL Limited","56.44","43.56",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151612_336460_13102020040540_WEB.xml"
"Action Construction Equipment Limited","73.02","26.98",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151613_336478_13102020040950_WEB.xml"
"Ador Welding Limited","56.75","43.25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151614_336523_13102020041310_WEB.xml"
"Sundaram Clayton Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151615_336550_13102020041555_WEB.xml"
"GFL Limited","68.72","31.28",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151616_336559_13102020041657_WEB.xml"
"McDowell Holdings Limited","2.27","97.73",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151618_336577_13102020042157_WEB.xml"
"20 Microns Limited","44.83","55.17",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151619_336619_13102020042900_WEB.xml"
"Country Condo's Limited","54.06","45.94",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151620_336621_13102020042920_WEB.xml"
"Munjal Auto Industries Limited","74.81","25.19",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151621_336637_13102020043122_WEB.xml"
"Tata Coffee Limited","57.48","42.52",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151622_336643_13102020043154_WEB.xml"
"Bank of Baroda","71.6","28.4",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151624_336666_13102020043413_WEB.xml"
"Fiem Industries Limited","66.56","33.44",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151625_336675_13102020043505_WEB.xml"
"Wonder Fibromats Limited","71.79","28.21",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151626_336701_13102020043730_WEB.xml"
"Norben Tea & Exports Limited","51.44","48.56",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151627_336703_13102020043749_WEB.xml"
"Union Bank of India","89.07","10.93",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151628_336709_13102020043848_WEB.xml"
"Airo Lam limited","52.13","47.87",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151629_336712_13102020043938_WEB.xml"
"Aakash Exploration Services Limited","73.33","26.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151631_336725_13102020044106_WEB.xml"
"PG Electroplast Limited","69.53","30.47",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151633_336728_13102020044128_WEB.xml"
"Precision Wires India Limited","59.67","40.33",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151634_336733_13102020044238_WEB.xml"
"PPAP Automotive Limited","64.52","35.48",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151635_336743_13102020044331_WEB.xml"
"PTL Enterprises Limited","69.82","30.18",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151636_336783_13102020044919_WEB.xml"
"Inspirisys Solutions Limited","69.95","30.05",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151637_336825_13102020045649_WEB.xml"
"Sasken Technologies Limited","45.06","54.71",,"0.23","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151638_336835_13102020045936_WEB.xml"
"Dhunseri Investments Limited","74.95","25.05",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151639_336879_13102020051019_WEB.xml"
"Madhya Bharat Agro Products Limited","74.97","25.03",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151640_336882_13102020051035_WEB.xml"
"CSB Bank Limited","49.73","47.39",,"2.88","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151642_336915_13102020051458_WEB.xml"
"CMI Limited","43.96","56.04",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151643_336926_13102020051659_WEB.xml"
"Igarashi Motors India Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151644_336940_13102020051828_WEB.xml"
"GPT Infraprojects Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151646_336965_13102020052443_WEB.xml"
"Dollar Industries Limited","72.61","27.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151647_336968_13102020052500_WEB.xml"
"Genus Paper & Boards Limited","50.49","49.51",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151648_337016_13102020053337_WEB.xml"
"Marvel Decor Limited","72.91","27.1",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151649_337019_13102020053353_WEB.xml"
"TPL Plastech Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151650_337025_13102020053502_WEB.xml"
"Century Textiles & Industries Limited","50.21","49.79",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151653_337084_13102020055142_WEB.xml"
"Jubilant Industries Limited","74.96","25.04",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151654_337113_13102020055522_WEB.xml"
"Time Technoplast Limited","51.33","48.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151655_337120_13102020055625_WEB.xml"
"PVP Ventures Limited","57.53","42.47",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151657_337162_13102020060942_WEB.xml"
"BIRLASOFT LIMITED","40.74","58.85",,"0.41","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151658_337166_13102020061018_WEB.xml"
"Patel Engineering Limited","60.87","36.07",,"3.07","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151659_337185_13102020061332_WEB.xml"
"SKIL Infrastructure Limited","65.66","30.88",,"3.46","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151660_337197_13102020061522_WEB.xml"
"New Delhi Television Limited","61.45","38.55",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151661_337212_13102020061832_WEB.xml"
"Lupin Limited","46.91","53.09",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151662_337233_13102020062200_WEB.xml"
"Hilton Metal Forging Limited","50.23","49.77",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151663_337299_13102020064741_WEB.xml"
"Bharat Electronics Limited","51.14","48.86",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151664_337368_13102020074810_WEB.xml"
"BSEL Infrastructure Realty Limited","23.79","76.21",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151665_337389_13102020075719_WEB.xml"
"Metropolis Healthcare Limited","50.57","49.43",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151666_337392_13102020075851_WEB.xml"
"Syngene International Limited","70.61","28.65",,"0.74","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151668_337446_13102020083743_WEB.xml"
"MT Educare Limited","75.06","24.94",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151669_337452_13102020084159_WEB.xml"
"Sarveshwar Foods Limited","73.67","26.33",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151670_337462_13102020084714_WEB.xml"
"PDS Multinational Fashions Limited","66.65","33.35",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151672_337473_13102020090420_WEB.xml"
"Tata Communications Limited","74.99","25.01",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151673_337478_13102020090612_WEB.xml"
"Uniply Industries Limited","19.04","80.96",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151674_337483_13102020090809_WEB.xml"
"Global Offshore Services Limited","33.1","66.9",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151675_337492_13102020091457_WEB.xml"
"Pfizer Limited","63.92","36.08",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151678_337519_13102020093752_WEB.xml"
"Anjani Portland Cement Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151679_337544_13102020100637_WEB.xml"
"Aarti Drugs Limited","60.21","39.79",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151680_337580_13102020112047_WEB.xml"
"Jaiprakash Associates Limited","38.61","61.39",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151682_337603_14102020093908_WEB.xml"
"HLV LIMITED","47.28","52.71",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151683_337607_14102020095445_WEB.xml"
"Engineers India Limited","51.5","48.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151684_337622_14102020100643_WEB.xml"
"Sumitomo Chemical India Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151687_337665_14102020103925_WEB.xml"
"GSS Infotech Limited","17.95","79.98",,"2.07","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151688_337672_14102020104541_WEB.xml"
"ANDHRA PAPER LIMITED","72.2","27.8",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151689_337683_14102020104839_WEB.xml"
"Indian Oil Corporation Limited","51.5","48.5",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151691_337704_14102020105716_WEB.xml"
"Electrosteel Castings Limited","55.19","44.81",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151692_337726_14102020110315_WEB.xml"
"Orient Paper & Industries Limited","38.74","61.26",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151694_337761_14102020111652_WEB.xml"
"Uttam Sugar Mills Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151697_337814_14102020113404_WEB.xml"
"GM Breweries Limited","74.43","25.57",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151698_337827_14102020114256_WEB.xml"
"Atlanta  Limited","62.27","37.73",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151699_337848_14102020114736_WEB.xml"
"Seshasayee Paper and Boards Limited","42.65","57.35",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151700_337858_14102020115032_WEB.xml"
"Deepak Nitrite Limited","45.69","54.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151701_337866_14102020115446_WEB.xml"
"Mangalore Chemicals & Fertilizers Limited","59.67","40.33",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151702_337870_14102020115528_WEB.xml"
"Ashima Limited","60.92","39.08",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151703_337882_14102020115734_WEB.xml"
"HPL Electric & Power Limited","72.34","27.66",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151704_337884_14102020115757_WEB.xml"
"Banco Products (I) Limited","67.88","32.12",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151705_337901_14102020120128_WEB.xml"
"Fortis Healthcare Limited","31.17","68.83",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151706_337903_14102020120136_WEB.xml"
"Jaiprakash Power Ventures Limited","26.07","73.93",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151707_337909_14102020120248_WEB.xml"
"Universal Cables Limited","61.89","38.11",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151708_337914_14102020120336_WEB.xml"
"Banaras Beads Limited","57.8","42.2",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151711_337923_14102020120617_WEB.xml"
"International Constructions Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151712_337941_14102020120855_WEB.xml"
"DCB Bank Limited","14.88","85.12",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151714_338009_14102020122457_WEB.xml"
"Indian Metals & Ferro Alloys Limited","58.69","41.31",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151715_338025_14102020122734_WEB.xml"
"Jai Balaji Industries Limited","50.98","49.02",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151716_338027_14102020122805_WEB.xml"
"Jindal Steel & Power Limited","60.47","39.53",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151717_338039_14102020123047_WEB.xml"
"Rallis India Limited","50.09","49.91",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151718_338046_14102020123248_WEB.xml"
"Ujjivan Small Finance Bank Limited","83.32","16.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151719_338070_14102020123744_WEB.xml"
"India Tourism Development Corporation Limited","87.03","12.97",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151721_338079_14102020123957_WEB.xml"
"Tribhovandas Bhimji Zaveri Limited","74.12","25.88",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151723_338091_14102020124132_WEB.xml"
"Vaswani Industries Limited","58.33","41.67",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151724_338113_14102020124547_WEB.xml"
"Arihant Foundations & Housing Limited","42.87","57.13",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151725_338117_14102020124558_WEB.xml"
"PNB Gilts Limited","74.07","25.93",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151726_338122_14102020124837_WEB.xml"
"Shiva Mills Limited","74.94","25.06",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151727_338137_14102020125051_WEB.xml"
"The New India Assurance Company Limited","85.44","14.56",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151729_338152_14102020125444_WEB.xml"
"La Opala RG Limited","65.64","34.36",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151731_338172_14102020125755_WEB.xml"
"GRP Limited","41.81","58.19",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151732_338178_14102020125908_WEB.xml"
"Ajmera Realty & Infra India Limited","67.95","32.05",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151733_338217_14102020010833_WEB.xml"
"Anik Industries Limited","48.46","51.54",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151734_338224_14102020010925_WEB.xml"
"Steel Strips Wheels Limited","62.85","37.15",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151735_338228_14102020011025_WEB.xml"
"J.Kumar Infraprojects Limited","45.31","54.68",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151738_338245_14102020011459_WEB.xml"
"Linde India Limited","75","25",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151739_338252_14102020011547_WEB.xml"
"Omkar Speciality Chemicals Limited","27.62","72.38",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151740_338255_14102020011606_WEB.xml"
"Selan Exploration Technology Limited","30.09","69.91",,"0","30-SEP-2020","https://archives.nseindia.com/corporate/xbrl/SHP_151741_338257_14102020011613_WEB.xml"
