"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Atlanta  Limited","81500000","50748922","    62.27","30751078","34032116","    67.06","    41.76","23-Nov-2020 11:30:22","34712517","81499980","42.59"
"Atlas Cycles (Haryana) Limited","6503838","2739500","    42.12","3764338","0","     0.00","     0.00","23-Nov-2020 11:30:16","176725","6215394","2.84"
"Atul Limited","29661733","13290244","    44.81","16371489","700000","     5.27","     2.36","23-Nov-2020 11:30:06","658887","29215643","2.26"
"Aurionpro Solutions Limited","22800165","6589597","    28.90","16210568","4190000","    63.59","    18.38","23-Nov-2020 11:30:21","4839388","22155204","21.84"
"Aurobindo Pharma Limited","585938609","304765471","    52.01","281173138","28468000","     9.34","     4.86","23-Nov-2020 11:30:12","38540720","584679896","6.59"
"Ausom Enterprise Limited","13623552","10040000","    73.70","3583552","0","     0.00","     0.00","23-Nov-2020 11:30:15","144989","12693879","1.14"
"Austral Coke & Projects Limited","290296040","60573004","    20.87","229723036","0","     0.00","     0.00","23-Nov-2020 11:30:26","2090322","290289471","0.72"
"Autoline Industries Limited","28260462","9261258","    32.77","18999204","1234000","    13.32","     4.37","23-Nov-2020 11:30:23","1885539","26920430","7"
"Autolite (India) Limited","11181241","6053649","    54.14","5127592","0","     0.00","     0.00","23-Nov-2020 11:30:15","534105","10742297","4.97"
"Automotive Axles Limited","15111975","10735081","    71.04","4376894","0","     0.00","     0.00","23-Nov-2020 11:30:15","188308","15049586","1.25"
"Automotive Stampings and Assemblies Limited","15864397","11898296","    75.00","3966101","0","     0.00","     0.00","23-Nov-2020 11:30:18","131573","15838899","0.83"
"Autoriders Finance Limited","13107000","5050400","    38.53","8056600","0","     0.00","     0.00","23-Nov-2020 11:30:11","37032","11450375","0.32"
"Avadh Sugar & Energy Limited","20018420","12081672","    60.35","7936748","2879682","    23.84","    14.39","23-Nov-2020 11:30:31","3527987","19852817","17.77"
"Avanti Feeds Limited","136245630","59523349","    43.69","76722281","0","     0.00","     0.00","23-Nov-2020 11:30:31","3013417","134900774","2.23"
"Axis Bank Limited","3060161084","506830976","    16.56","2553330108","0","     0.00","     0.00","23-Nov-2020 11:30:17","20538172","3056078663","0.67"
"B. L. Kashyap and Sons Limited","225440000","138639565","    61.50","86800435","138233158","    99.71","    61.32","23-Nov-2020 11:30:22","141824253","225432480","62.91"
"B.A.G Films and Media Limited","197918090","92748182","    46.86","105169908","0","     0.00","     0.00","23-Nov-2020 11:30:19","1406176","197463796","0.71"
"BASF India Limited","43285640","31743220","    73.33","11542420","0","     0.00","     0.00","23-Nov-2020 11:30:06","1457535","42879686","3.4"
"BEML Limited","41644500","22500000","    54.03","19144500","0","     0.00","     0.00","23-Nov-2020 11:30:08","1518326","41536107","3.66"
"BF Investment Limited","37667628","27640976","    73.38","10026652","0","     0.00","     0.00","23-Nov-2020 11:30:28","268492","37030885","0.73"
"BF Utilities Limited","37667628","21090015","    55.99","16577613","0","     0.00","     0.00","23-Nov-2020 11:30:24","2267740","37047416","6.12"
"BGR Energy Systems Limited","72161560","54121170","    75.00","18040390","0","     0.00","     0.00","23-Nov-2020 11:30:25","1174814","72161029","1.63"
