"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"INDIGO","InterGlobe Aviation Limited","7(2)","Suman Chopra","Employees/Designated Employees","Equity Shares","37546","0.01",,"1000","1730000","Sell","Equity Shares","36546","0.01","20-Nov-2020","20-Nov-2020","22-Nov-2020","Market Sale","-","-","0","0","0","0","BSE,NSE","-","24-Nov-2020 18:58","https://archives.nseindia.com/corporate/xbrl/IT_1084316_366005_24112020065806_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sandeep Garg","Employees/Designated Employees","Equity Shares","583","0",,"383","1914962","Sell","Equity Shares","200","0","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dhruv Prakash","Director","Equity Shares","31656","0.11",,"450","2267501","Sell","Equity Shares","31206","0.11","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dhruv Prakash","Director","Equity Shares","32106","0.11",,"450","2235000","Sell","Equity Shares","31656","0.11","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dinesh Gulati","Employees/Designated Employees","Equity Shares","384003","1.32",,"1950","9750000","Sell","Equity Shares","382053","1.31","20-Nov-2020","20-Nov-2020","21-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Dinesh Gulati","Employees/Designated Employees","Equity Shares","369556","1.27",,"14447","634790","Buy","Equity Shares","384003","1.32","13-Oct-2020","20-Nov-2020","21-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Vivek Agrawal","Employees/Designated Employees","Equity Shares","2475","0.01",,"1400","6887996","Sell","Equity Shares","1075","0","19-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sunil Parolia","Employees/Designated Employees","Equity Shares","10694","0.04",,"400","2009788","Sell","Equity Shares","10294","0.04","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sudhir Gupta","Employees/Designated Employees","Equity Shares","24296","0.08",,"200","1001000","Sell","Equity Shares","24096","0.08","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Sudhir Gupta","Employees/Designated Employees","Equity Shares","20337","0.07",,"3959","201590","Buy","Equity Shares","24296","0.08","12-Oct-2020","20-Nov-2020","23-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Vikas Deep Verma","Employees/Designated Employees","Equity Shares","5152","0.02",,"200","1000750","Sell","Equity Shares","4952","0.02","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Vikas Deep Verma","Employees/Designated Employees","Equity Shares","5952","0.02",,"800","3977496","Sell","Equity Shares","5152","0.02","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"INDIAMART","Indiamart Intermesh Limited","7(2)","Vikas Deep Verma","Employees/Designated Employees","Equity Shares","1813","0.01",,"4139","41390","Buy","Equity Shares","5952","0.02","13-Oct-2020","13-Oct-2020","20-Nov-2020","ESOP","-","-","0","0","0","0","NA","-","24-Nov-2020 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1084314_366002_24112020065139_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","GLEBE TRADING PRIVATE LIMITED","Promoter Group","Equity Shares","145332820","8.85",,"11000000","694650000","Pledge","Equity Shares","145332820","8.85","20-Nov-2020","20-Nov-2020","24-Nov-2020","Pledge Creation","-","-","0","0","0","0","NA","-","24-Nov-2020 18:45","https://archives.nseindia.com/corporate/xbrl/IT_1084312_365999_24112020064552_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Aruna K Rao","-","Equity Shares","110388","0.01",,"2000","3842000","Sell","Equity Shares","108388","0.01","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:39","https://archives.nseindia.com/corporate/xbrl/IT_1084311_365995_24112020063915_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Aruna K Rao","-","Equity Shares","111388","0.01",,"1000","1898000","Sell","Equity Shares","110388","0.01","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:39","https://archives.nseindia.com/corporate/xbrl/IT_1084311_365995_24112020063915_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Kalidindi Roopa","Director","Equity Shares","2258038","4.99",,"10000","1415000","Buy","Equity Shares","2268038","5.01","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:38","https://archives.nseindia.com/corporate/xbrl/IT_1084310_365992_24112020063802_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","K.Pooja","Director","Equity Shares","1417248","3.13",,"2455","351065","Buy","Equity Shares","1419703","3.14","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:38","https://archives.nseindia.com/corporate/xbrl/IT_1084310_365992_24112020063802_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","P S Raju","Promoter Group","Equity Shares","81434","0.18",,"904","127193","Buy","Equity Shares","82338","0.18","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:38","https://archives.nseindia.com/corporate/xbrl/IT_1084310_365992_24112020063802_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Geeta N Goradia","Promoter Group","Equity Shares","137315","0.3",,"1700","239309","Buy","Equity Shares","139015","0.31","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:38","https://archives.nseindia.com/corporate/xbrl/IT_1084310_365992_24112020063802_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","NCL holdings (A&S) Ltd","Promoter Group","Equity Shares","848103","1.87",,"15059","2132567","Sell","Equity Shares","833044","1.84","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:38","https://archives.nseindia.com/corporate/xbrl/IT_1084310_365992_24112020063802_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","ANUJ CHAUHAN","Employees/Designated Employees","Equity Shares","220","0",,"10","109900","Sell","Equity Shares","210","0","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","JASWANT SINGH RAWAT","Employees/Designated Employees","Equity Shares","200","0",,"100","1065000","Sell","Equity Shares","100","0","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","MUNEESH ￂ﾿DHAWAN","Employees/Designated Employees","Equity Shares","7575","0.06",,"500","5300500","Sell","Equity Shares","7075","0.06","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","RAJESH KUMAR MISHRA","Employees/Designated Employees","Equity Shares","70","0",,"30","328470","Sell","Equity Shares","40","0","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","REGI  JOHN","Employees/Designated Employees","Equity Shares","1381","0.01",,"90","960050","Sell","Equity Shares","1291","0.01","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","KAILASH CHANDER SHARMA","Employees/Designated Employees","Equity Shares","8460","0.07",,"75","801249","Sell","Equity Shares","8385","0.07","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","JASWANT SINGH RAWAT","Employees/Designated Employees","Equity Shares","800","0",,"600","6217000","Sell","Equity Shares","200","0","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","ABHIJIT R KOTNIS","Employees/Designated Employees","Equity Shares","18500","0.15",,"1000","10700000","Sell","Equity Shares","17500","0.15","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","KAMAL  GUPTA","Employees/Designated Employees","Equity Shares","600","0",,"135","1399550","Sell","Equity Shares","465","0","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","VIKASH  JUNEJA","Employees/Designated Employees","Equity Shares","1200","0.01",,"50","540675","Sell","Equity Shares","1150","0","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","VIKASH  JUNEJA","Employees/Designated Employees","Equity Shares","1250","0.01",,"50","539550","Sell","Equity Shares","1200","0.01","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","BSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","VIKASH  JUNEJA","Employees/Designated Employees","Equity Shares","1300","0.01",,"50","534550","Sell","Equity Shares","1250","0.01","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","ANUJ CHAUHAN","Employees/Designated Employees","Equity Shares","230","0",,"10","106900","Sell","Equity Shares","220","0","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","ASHISH KUMAR","Key Managerial Personnel","Equity Shares","14768","0.13",,"118","1262600","Sell","Equity Shares","14650","0.1","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","SUDHEER  KUMAR","Employees/Designated Employees","Equity Shares","200","0",,"30","309999","Sell","Equity Shares","170","0","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","ANUJ CHAUHAN","Employees/Designated Employees","Equity Shares","240","0",,"10","105000","Sell","Equity Shares","230","0","20-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","RAJESH KUMAR MISHRA","Employees/Designated Employees","Equity Shares","140","0",,"100","1073900","Sell","Equity Shares","40","0","23-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","RAJESH KUMAR MISHRA","Employees/Designated Employees","Equity Shares","210","0",,"70","717430","Sell","Equity Shares","140","0","20-Nov-2020","20-Nov-2020","21-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","SUMIT  CHAUDHARY","Employees/Designated Employees","Equity Shares","210","0",,"120","1235189","Sell","Equity Shares","90","0","18-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","AVINASH  TIWARI","Employees/Designated Employees","Equity Shares","450","0",,"100","1015000","Sell","Equity Shares","350","0","17-Nov-2020","17-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","RADHEY SHYAM","Employees/Designated Employees","Equity Shares","110","0",,"50","535000","Sell","Equity Shares","60","0","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","PRASHANTￂ﾿ KUMAR","Employees/Designated Employees","Equity Shares","100","0",,"100","1063000","Sell","Equity Shares","Nil","0","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","RADHEY SHYAM","Employees/Designated Employees","Equity Shares","210","0",,"100","1027500","Sell","Equity Shares","110","0","18-Nov-2020","20-Nov-2020","20-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:33","https://archives.nseindia.com/corporate/xbrl/IT_1084306_365989_24112020063339_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Pankaj Jain","Employees/Designated Employees","Equity Shares","10000","0.01",,"2000","8101100","Sell","Equity Shares","8000","0.01","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:32","https://archives.nseindia.com/corporate/xbrl/IT_1084305_365987_24112020063247_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Vibhore Sharma","Employees/Designated Employees","Equity Shares","203","0",,"203","828240","Sell","Equity Shares","Nil","0","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","BSE","-","24-Nov-2020 18:32","https://archives.nseindia.com/corporate/xbrl/IT_1084305_365987_24112020063247_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Ambrish Kumar Singh","Employees/Designated Employees","Equity Shares","8415","0.01",,"500","2000000","Sell","Equity Shares","7915","0.01","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:32","https://archives.nseindia.com/corporate/xbrl/IT_1084305_365987_24112020063247_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Amit Garg","Employees/Designated Employees","Equity Shares","49919","0.02",,"12864","11295235","Pledge Revoke","Equity Shares","49919","0.02","20-Nov-2020","20-Nov-2020","23-Nov-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","24-Nov-2020 18:29","https://archives.nseindia.com/corporate/xbrl/IT_1084302_365983_24112020062901_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Manoj Tibrewal","Employees/Designated Employees","Equity Shares","994208","0.32",,"1000","875000","Sell","Equity Shares","993208","0.32","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:29","https://archives.nseindia.com/corporate/xbrl/IT_1084302_365983_24112020062901_WEB.xml"
"EICHERMOT","Eicher Motors Limited","7(2)","SUDHAKAR ANANDA BHAGAVATULA","Employees/Designated Employees","Equity Shares","12150","0",,"2600","6535876","Sell","Equity Shares","9550","0","17-Nov-2020","17-Nov-2020","18-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1084300_365977_24112020060853_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","MITTAL RAJIV","Employees/Designated Employees","Equity Shares","49115","0",,"2000","4744820","Sell","Equity Shares","47115","0","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1084299_365974_24112020060814_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","HARINI ANAND","Employees/Designated Employees","Equity Shares","250","0",,"250","584375","Pledge Revoke","Equity Shares","250","0","18-Nov-2020","18-Nov-2020","23-Nov-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","24-Nov-2020 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1084299_365974_24112020060814_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","RANGAN SRINIVASA V","Director","Equity Shares","542975","0.03",,"5500","12878360","Sell","Equity Shares","537475","0.03","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1084299_365974_24112020060814_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","MISTRY K M","Director","Equity Shares","475000","0.03",,"5000","11515000","Sell","Equity Shares","470000","0.03","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1084299_365974_24112020060814_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","HARINI ANAND","Employees/Designated Employees","Equity Shares","250","0",,"250","584375","Sell","Equity Shares","Nil","0","18-Nov-2020","18-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","BSE","-","24-Nov-2020 18:08","https://archives.nseindia.com/corporate/xbrl/IT_1084299_365974_24112020060814_WEB.xml"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","7(2)","PLACID LIMITED","Promoter Group","Equity Shares","742320","23.98",,"6712","1431081","Buy","Equity Shares","749032","24.19","18-Nov-2020","20-Nov-2020","24-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:59","https://archives.nseindia.com/corporate/xbrl/IT_1084296_365971_24112020055953_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","ANUPAM DUTTA","Employees/Designated Employees","Equity Shares","3900","0.01",,"300","636000","Sell","Equity Shares","3600","0.01","20-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","Dr. Nilesh Shah","Employees/Designated Employees","Equity Shares","67218","0.13",,"2800","5950000","Sell","Equity Shares","64418","0.13","20-Nov-2020","20-Nov-2020","21-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","ANUPAM DUTTA","Employees/Designated Employees","Equity Shares","3600","0.01",,"400","887800","Sell","Equity Shares","3200","0.01","23-Nov-2020","23-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","Gaurav Bahel","Employees/Designated Employees","Equity Shares","740","0",,"250","558750","Sell","Equity Shares","490","0","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","Mr. Jayant Rajani","Employees/Designated Employees","Equity Shares","1000","0",,"950","2204000","Sell","Equity Shares","50","0","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","ANUPAM DUTTA","Employees/Designated Employees","Equity Shares","4000","0.01",,"100","206000","Sell","Equity Shares","3900","0.01","18-Nov-2020","18-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","Gaurav Bahel","Employees/Designated Employees","Equity Shares","490","0",,"240","510000","Sell","Equity Shares","250","0","23-Nov-2020","23-Nov-2020","24-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","Dr. Pranav Desai","Employees/Designated Employees","Equity Shares","107233","0.21",,"1000","2120550","Sell","Equity Shares","106233","0.21","20-Nov-2020","20-Nov-2020","21-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1084294_365968_24112020055835_WEB.xml"
"HFCL","HFCL Limited","7(2)","MN VENTURES PRIVATE LIMITED","Promoters","Equity Shares","288140000","22.44",,"500000","9162000","Buy","Equity Shares","288640000","22.48","24-Nov-2020","24-Nov-2020","24-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:57","https://archives.nseindia.com/corporate/xbrl/IT_1084293_365963_24112020055736_WEB.xml"
"PANAMAPET","Panama Petrochem Limited","7(2)","AMIN AMIRALI RAYANI","Promoter Group","Equity Shares","2711963","4.48",,"211424","15481680","Buy","Equity Shares","2923387","4.83","20-Nov-2020","24-Nov-2020","24-Nov-2020","Market Purchase","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1084290_365959_24112020055520_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Rajesh Sharma","Employees/Designated Employees","Equity Shares","153000","0",,"10000","14000000","Pledge Revoke","Equity Shares","153000","0","20-Nov-2020","20-Nov-2020","23-Nov-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","24-Nov-2020 17:52","https://archives.nseindia.com/corporate/xbrl/IT_1084288_365956_24112020055202_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Nishant Sudhir Jogi","Employees/Designated Employees","Equity Shares","39300","0",,"1100","1549155","Sell","Equity Shares","38200","0","18-Nov-2020","20-Nov-2020","23-Nov-2020","Market Sale","-","-","0","0","0","0","NSE","-","24-Nov-2020 17:52","https://archives.nseindia.com/corporate/xbrl/IT_1084288_365956_24112020055202_WEB.xml"
