,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
3708,DRREDDY,Dr. Reddy's Laboratories Limited,7(2),Ganesan M,Employees/Designated Employees,Equity Shares,745,0.0,,500,2620003,Sell,Equity Shares,245,0.0,30-Sep-2020,30-Sep-2020,05-Oct-2020,Market Sale,-,-,0,0,0,0,BSE,-,05-Oct-2020 19:24,https://archives.nseindia.com/corporate/xbrl/IT_1081574_326839_05102020072414_WEB.xml
3709,DRREDDY,Dr. Reddy's Laboratories Limited,7(2),Dinesh Sharma,Employees/Designated Employees,Equity Shares,550,0.0,,550,2884282,Sell,Equity Shares,Nil,0.0,30-Sep-2020,30-Sep-2020,02-Oct-2020,Market Sale,-,-,0,0,0,0,BSE,-,05-Oct-2020 19:24,https://archives.nseindia.com/corporate/xbrl/IT_1081574_326839_05102020072414_WEB.xml
3710,DRREDDY,Dr. Reddy's Laboratories Limited,7(2),Sandip Banerjee,Employees/Designated Employees,Equity Shares,1867,0.0,,1000,5266000,Sell,Equity Shares,867,0.0,30-Sep-2020,30-Sep-2020,30-Sep-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 19:24,https://archives.nseindia.com/corporate/xbrl/IT_1081574_326839_05102020072414_WEB.xml
3711,VGUARD,V-Guard Industries Limited,7(2),P. Saravana Babu,Employees/Designated Employees,Equity Shares,51700,0.01,,1000,166833,Sell,Equity Shares,50700,0.01,30-Sep-2020,30-Sep-2020,01-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:51,https://archives.nseindia.com/corporate/xbrl/IT_1081572_326832_05102020065133_WEB.xml
3712,SAKUMA,Sakuma Exports Limited,7(2),Kusum Malhotra Jointly with Saurabh Malhotra,Promoters,Equity Shares,Nil,0.0,,46431190,0,Buy,Equity Shares,46431190,21.77,28-Sep-2020,28-Sep-2020,28-Sep-2020,Inter-se-Transfer,-,-,0,0,0,0,,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081571_326826_05102020064824_WEB.xml
3713,SAKUMA,Sakuma Exports Limited,7(2),Kusum Malhotra,Promoters,Equity Shares,46431190,21.77,,46431190,0,Sell,Equity Shares,Nil,0.0,28-Sep-2020,28-Sep-2020,28-Sep-2020,Inter-se-Transfer,-,-,0,0,0,0,,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081571_326826_05102020064824_WEB.xml
3714,HDFC,Housing Development Finance Corporation Limited,7(2),SURESH KUMAR K,Employees/Designated Employees,Equity Shares,401058,0.02,,4000,6915880,Sell,Equity Shares,397058,0.02,30-Sep-2020,30-Sep-2020,01-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3715,HDFC,Housing Development Finance Corporation Limited,7(2),TAWDE HARSHAD YASHWANT,Employees/Designated Employees,Equity Shares,14840,0.0,,500,870000,Pledge Revoke,Equity Shares,14840,0.0,30-Sep-2020,30-Sep-2020,03-Oct-2020,Revokation of Pledge,-,-,0,0,0,0,,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3716,HDFC,Housing Development Finance Corporation Limited,7(2),TAWDE HARSHAD YASHWANT,Employees/Designated Employees,Equity Shares,14590,0.0,,250,253663,Buy,Equity Shares,14840,0.0,23-Sep-2020,23-Sep-2020,03-Oct-2020,ESOP,-,-,0,0,0,0,,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3717,HDFC,Housing Development Finance Corporation Limited,7(2),KRISHNA AMITABH,Employees/Designated Employees,Equity Shares,49300,0.0,,38000,66121900,Pledge,Equity Shares,49300,0.0,30-Sep-2020,30-Sep-2020,02-Oct-2020,Pledge Creation,-,-,0,0,0,0,,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
