,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
860,SASKEN,Sasken Technologies Limited,7(2),Arti Mody,Promoter Group,Equity Shares,254677,1.69,,3231,2182153,Buy,Equity Shares,257908,1.71,14-Nov-2020,14-Nov-2020,17-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 16:30,https://archives.nseindia.com/corporate/xbrl/IT_1083476_364254_17112020043058_WEB.xml
861,METROPOLIS,Metropolis Healthcare Limited,7(2),DR. RAMESH KUMAR,Employees/Designated Employees,Equity Shares,66852,0.13,,1000,2000000,Sell,Equity Shares,65852,0.13,26-Oct-2020,26-Oct-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 15:51,https://archives.nseindia.com/corporate/xbrl/IT_1083471_364243_17112020035117_WEB.xml
862,AJANTPHARM,Ajanta Pharma Limited,7(2),"Aayush M Agrawal, trustee Aayush Agrawal Trust",Promoters,Equity Shares,12540389,14.37,,194500,297555825,Pledge,Equity Shares,12540389,14.37,12-Nov-2020,12-Nov-2020,14-Nov-2020,Others,-,-,0,0,0,0,,-,17-Nov-2020 15:51,https://archives.nseindia.com/corporate/xbrl/IT_1083470_364241_17112020035112_WEB.xml
863,RKFORGE,Ramkrishna Forgings Limited,7(2),CHAITANYA JALAN,Director,Equity Shares,15320,0.05,,1100,395835,Buy,Equity Shares,16420,0.05,14-Nov-2020,14-Nov-2020,17-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1083467_364236_17112020034854_WEB.xml
864,AJANTPHARM,Ajanta Pharma Limited,7(2),R D Shelke,Other,Equity Shares,6000,0.01,,2500,3820125,Buy,Equity Shares,8500,0.01,12-Nov-2020,12-Nov-2020,14-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 15:40,https://archives.nseindia.com/corporate/xbrl/IT_1083464_364231_17112020034021_WEB.xml
865,AJANTPHARM,Ajanta Pharma Limited,7(2),"Ravi P Agrawal, trustee Ravi Agrawal trust",Promoters,Equity Shares,12545180,14.38,,775000,1200087500,Pledge,Equity Shares,12545180,14.38,13-Nov-2020,13-Nov-2020,17-Nov-2020,Others,-,-,0,0,0,0,,-,17-Nov-2020 15:33,https://archives.nseindia.com/corporate/xbrl/IT_1083462_364225_17112020033321_WEB.xml
866,BETA,Beta Drugs Limited,7(2),Vijay Kumar Batra,Promoters,Equity Shares,6307628,65.61,,6400,826616,Buy,Equity Shares,6314028,65.67,14-Nov-2020,14-Nov-2020,16-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 15:26,https://archives.nseindia.com/corporate/xbrl/IT_1083460_364221_17112020032640_WEB.xml
867,DCMSHRIRAM,DCM Shriram Limited,7(2),Prem Das Satsangi,Employees/Designated Employees,Equity Shares,75000,0.05,,10000,3380000,Sell,Equity Shares,65000,0.04,13-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 15:11,https://archives.nseindia.com/corporate/xbrl/IT_1083457_364215_17112020031106_WEB.xml
868,JSWSTEEL,JSW Steel Limited,7(2),JSW Techno Projects Management Limited,Promoter Group,Equity Shares,264454220,10.94,,280000,95970000,Pledge Revoke,Equity Shares,264454220,10.94,12-Nov-2020,12-Nov-2020,13-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,17-Nov-2020 14:56,https://archives.nseindia.com/corporate/xbrl/IT_1083455_364205_17112020025629_WEB.xml
869,JSWSTEEL,JSW Steel Limited,7(2),Vividh Finvest Private Limited (Formerly Vividh Consultancy & Advisory Services Private Limited),Promoter Group,Equity Shares,143370690,5.93,,750000,253500000,Pledge Revoke,Equity Shares,143370690,5.93,12-Nov-2020,12-Nov-2020,13-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,17-Nov-2020 14:56,https://archives.nseindia.com/corporate/xbrl/IT_1083455_364205_17112020025629_WEB.xml
870,JSWSTEEL,JSW Steel Limited,7(2),Sahyog Holdings Private Limited,Promoter Group,Equity Shares,112067860,4.64,,2290000,774020000,Pledge Revoke,Equity Shares,112067860,4.64,12-Nov-2020,12-Nov-2020,13-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,17-Nov-2020 14:56,https://archives.nseindia.com/corporate/xbrl/IT_1083455_364205_17112020025629_WEB.xml
871,HDFCBANK,HDFC Bank Limited,7(2),Amit Kumar Singh,Employees/Designated Employees,Equity Shares,62000,0.0,,3000,4059200,Sell,Equity Shares,59000,0.0,09-Nov-2020,10-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
872,HDFCBANK,HDFC Bank Limited,7(2),Vivek Ramesh Vazirani,Employees/Designated Employees,Equity Shares,146690,0.0,,1000,1408000,Sell,Equity Shares,145690,0.0,11-Nov-2020,11-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
873,HDFCBANK,HDFC Bank Limited,7(2),Swaminathan Sathyamurthy,Employees/Designated Employees,Equity Shares,10304,0.0,,2000,2686000,Sell,Equity Shares,8304,0.0,09-Nov-2020,09-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
874,HDFCBANK,HDFC Bank Limited,7(2),Swaminathan Sathyamurthy,Employees/Designated Employees,Equity Shares,8304,0.0,,2000,2736000,Sell,Equity Shares,6304,0.0,13-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
875,HDFCBANK,HDFC Bank Limited,7(2),Dhiraj Relli,Employees/Designated Employees,Equity Shares,351556,0.01,,1800,2466000,Pledge Revoke,Equity Shares,351556,0.01,12-Nov-2020,12-Nov-2020,13-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
876,HDFCBANK,HDFC Bank Limited,7(2),Bhaskar Chandra Panda,Employees/Designated Employees,Equity Shares,163648,0.0,,1000,1365000,Sell,Equity Shares,162648,0.0,13-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
877,HDFCBANK,HDFC Bank Limited,7(2),Rajeev Sengupta,Employees/Designated Employees,Equity Shares,61466,0.0,,3000,4158027,Sell,Equity Shares,58466,0.0,11-Nov-2020,11-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
878,HDFCBANK,HDFC Bank Limited,7(2),Ramesh Kumar Goswami,Employees/Designated Employees,Equity Shares,38100,0.0,,3400,4726544,Sell,Equity Shares,34700,0.0,11-Nov-2020,11-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
879,HDFCBANK,HDFC Bank Limited,7(2),Swaminathan Sathyamurthy,Employees/Designated Employees,Equity Shares,6304,0.0,,4000,5895300,Sell,Equity Shares,2304,0.0,16-Nov-2020,16-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:50,https://archives.nseindia.com/corporate/xbrl/IT_1083453_364200_17112020025051_WEB.xml
880,APLAPOLLO,APL Apollo Tubes Limited,7(2),Ajay Garg,Employees/Designated Employees,Equity Shares,5972,0.02,,1000,3285000,Sell,Equity Shares,4972,0.02,13-Nov-2020,13-Nov-2020,17-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:47,https://archives.nseindia.com/corporate/xbrl/IT_1083451_364197_17112020024722_WEB.xml
881,GRAVITA,Gravita India Limited,7(2),Gravita Employee Welfare Trust,Employees/Designated Employees,Equity Shares,1088500,1.58,,90000,3927040,Buy,Equity Shares,1178500,1.7,13-Nov-2020,14-Nov-2020,17-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:36,https://archives.nseindia.com/corporate/xbrl/IT_1083449_364194_17112020023643_WEB.xml
882,ICICIBANK,ICICI Bank Limited,7(2),Sumit Sanghai,Employees/Designated Employees,Equity Shares,Nil,0.0,,19800,4678344,Buy,Equity Shares,19800,0.0,12-Nov-2020,12-Nov-2020,16-Nov-2020,ESOP,-,-,0,0,0,0,,-,17-Nov-2020 14:34,https://archives.nseindia.com/corporate/xbrl/IT_1083447_364191_17112020023440_WEB.xml
883,ICICIBANK,ICICI Bank Limited,7(2),Soumyajyoti Roychoudhury,Employees/Designated Employees,Equity Shares,3434,0.0,,3434,1665449,Sell,Equity Shares,Nil,0.0,11-Nov-2020,11-Nov-2020,17-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:34,https://archives.nseindia.com/corporate/xbrl/IT_1083447_364191_17112020023440_WEB.xml
884,ICICIBANK,ICICI Bank Limited,7(2),APARNA S,Employees/Designated Employees,Equity Shares,6400,0.0,,2400,1155079,Sell,Equity Shares,4000,0.0,13-Nov-2020,14-Nov-2020,17-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:34,https://archives.nseindia.com/corporate/xbrl/IT_1083447_364191_17112020023440_WEB.xml
885,BHAGERIA,Bhageria Industries Limited,7(2),ADITYA V BHAGERIA,Promoter Group,Equity Shares,63727,0.14,,273,34990,Buy,Equity Shares,64000,0.14,13-Nov-2020,13-Nov-2020,17-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 14:32,https://archives.nseindia.com/corporate/xbrl/IT_1083446_364188_17112020023222_WEB.xml
886,TANLA,Tanla Platforms Limited,7(2),Tariq Rahimtulla,Employees/Designated Employees,Equity Shares,199100,0.15,,1460,500097,Buy,Equity Shares,200560,0.15,11-Nov-2020,11-Nov-2020,13-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 13:09,https://archives.nseindia.com/corporate/xbrl/IT_1083443_364179_17112020010924_WEB.xml
887,TANLA,Tanla Platforms Limited,7(2),Tariq Rahimtulla,Employees/Designated Employees,Equity Shares,2000560,0.15,,1900,689157,Buy,Equity Shares,2002460,0.15,12-Nov-2020,12-Nov-2020,13-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 13:09,https://archives.nseindia.com/corporate/xbrl/IT_1083443_364179_17112020010924_WEB.xml
888,GEEKAYWIRE,Geekay Wires Limited,7(2),RITESH GOEL,Immediate relative,Equity Shares,Nil,0.0,,2000,124400,Buy,Equity Shares,2000,0.02,14-Nov-2020,14-Nov-2020,16-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 13:00,https://archives.nseindia.com/corporate/xbrl/IT_1083440_364176_17112020010048_WEB.xml
889,GEEKAYWIRE,Geekay Wires Limited,7(2),SASHI GOEL,Immediate relative,Equity Shares,2450,0.02,,740,46013,Buy,Equity Shares,3190,0.03,13-Nov-2020,14-Nov-2020,16-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 13:00,https://archives.nseindia.com/corporate/xbrl/IT_1083440_364176_17112020010048_WEB.xml
890,GEEKAYWIRE,Geekay Wires Limited,7(2),KAMLA DEVI,Immediate relative,Equity Shares,2100,0.02,,2510,156122,Buy,Equity Shares,4610,0.04,14-Nov-2020,14-Nov-2020,16-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 13:00,https://archives.nseindia.com/corporate/xbrl/IT_1083440_364176_17112020010048_WEB.xml
891,GEEKAYWIRE,Geekay Wires Limited,7(2),RAJ KUMAR GOEL,Immediate relative,Equity Shares,2669,0.03,,1100,68365,Buy,Equity Shares,3769,0.04,13-Nov-2020,14-Nov-2020,16-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 13:00,https://archives.nseindia.com/corporate/xbrl/IT_1083440_364176_17112020010048_WEB.xml
892,TANLA,Tanla Platforms Limited,7(2),MOBILE TECHSOL PRIVATE LIMITED,Promoters,Equity Shares,315000,0.23,,1710000,670705992,Buy,Equity Shares,2025000,1.49,17-Nov-2020,17-Nov-2020,17-Nov-2020,Market Purchase,-,-,0,0,0,0,BSE,-,17-Nov-2020 12:56,https://archives.nseindia.com/corporate/xbrl/IT_1083438_364173_17112020125634_WEB.xml
893,HINDCON,Hindcon Chemicals Limited,7(2),SANJAY GOENKA,Promoters,Equity Shares,1802500,17.61,,4000,82080,Buy,Equity Shares,1806500,17.64,14-Nov-2020,14-Nov-2020,17-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 12:47,https://archives.nseindia.com/corporate/xbrl/IT_1083436_364169_17112020124743_WEB.xml
894,BLUESTARCO,Blue Star Limited,7(2),NEERAJ BASUR,Key Managerial Personnel,Equity Shares,49600,0.05,,5000,3405666,Sell,Equity Shares,44600,0.05,13-Nov-2020,13-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 12:03,https://archives.nseindia.com/corporate/xbrl/IT_1083434_364150_17112020120315_WEB.xml
895,GREAVESCOT,Greaves Cotton Limited,7(2),Karun Carpets Private Limited,Promoters,Equity Shares,14700885,6.36,,7000,514990,Buy,Equity Shares,14707885,6.36,14-Nov-2020,14-Nov-2020,15-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 11:28,https://archives.nseindia.com/corporate/xbrl/IT_1083432_364140_17112020112811_WEB.xml
896,GREAVESCOT,Greaves Cotton Limited,7(2),Karun Carpets Private Limited,Promoters,Equity Shares,14610885,6.32,,90000,6533100,Buy,Equity Shares,14700885,6.36,13-Nov-2020,13-Nov-2020,14-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 11:24,https://archives.nseindia.com/corporate/xbrl/IT_1083430_364134_17112020112411_WEB.xml
897,DIVISLAB,Divi's Laboratories Limited,7(2),M. Visweswara Rao,Employees/Designated Employees,Equity Shares,73000,0.03,,1250,4255635,Sell,Equity Shares,71750,0.03,12-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 10:55,https://archives.nseindia.com/corporate/xbrl/IT_1083428_364117_17112020105539_WEB.xml
898,DIVISLAB,Divi's Laboratories Limited,7(2),DIVI MADHUSUDANA RAO,Promoter Group,Equity Shares,330760,0.12,,3649,12428111,Sell,Equity Shares,327111,0.12,12-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 10:55,https://archives.nseindia.com/corporate/xbrl/IT_1083428_364117_17112020105539_WEB.xml
899,SBICARD,Sbi Cards And Payment Services Limited,7(2),Nandini Malhotra,Employees/Designated Employees,Equity Shares,4375,0.0,,2500,2134805,Sell,Equity Shares,1875,0.0,10-Nov-2020,10-Nov-2020,12-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,17-Nov-2020 10:52,https://archives.nseindia.com/corporate/xbrl/IT_1083427_364111_17112020105249_WEB.xml
900,SBICARD,Sbi Cards And Payment Services Limited,7(2),Nandini Malhotra,Employees/Designated Employees,Equity Shares,4875,0.0,,500,424975,Sell,Equity Shares,4375,0.0,10-Nov-2020,10-Nov-2020,12-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,17-Nov-2020 10:48,https://archives.nseindia.com/corporate/xbrl/IT_1083425_364107_17112020104823_WEB.xml
901,SASKEN,Sasken Technologies Limited,7(2),Arti Mody,Promoter Group,Equity Shares,253212,1.68,,1465,990455,Buy,Equity Shares,254677,1.69,14-Nov-2020,14-Nov-2020,17-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,17-Nov-2020 10:37,https://archives.nseindia.com/corporate/xbrl/IT_1083423_364103_17112020103747_WEB.xml
902,MITTAL,Mittal Life Style Limited,7(2),J.K. DENIM FAB PRIVATE LIMITED,Promoter Group,Equity Shares,3671746,31.25,,7000,100800,Sell,Equity Shares,3664746,31.19,14-Nov-2020,14-Nov-2020,15-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:43,https://archives.nseindia.com/corporate/xbrl/IT_1083420_364096_16112020094338_WEB.xml
903,BAJFINANCE,Bajaj Finance Limited,7(2),Shri M M Muralidharan,Employees/Designated Employees,Equity Shares,210259,0.03,,200,862000,Sell,Equity Shares,210059,0.03,12-Nov-2020,12-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:27,https://archives.nseindia.com/corporate/xbrl/IT_1083418_364093_16112020092706_WEB.xml
904,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Rajib Bhowmick,Employees/Designated Employees,Equity Shares,36919,0.0,,1000,4315000,Sell,Equity Shares,35919,0.0,12-Nov-2020,12-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:27,https://archives.nseindia.com/corporate/xbrl/IT_1083418_364093_16112020092706_WEB.xml
905,BAJFINANCE,Bajaj Finance Limited,7(2),Shri M M Muralidharan,Employees/Designated Employees,Equity Shares,210059,0.03,,1250,5460438,Sell,Equity Shares,208809,0.03,13-Nov-2020,13-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:27,https://archives.nseindia.com/corporate/xbrl/IT_1083418_364093_16112020092706_WEB.xml
906,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Raul Raj Verma,Employees/Designated Employees,Equity Shares,38927,0.0,,550,2400558,Sell,Equity Shares,38377,0.0,13-Nov-2020,13-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:27,https://archives.nseindia.com/corporate/xbrl/IT_1083418_364093_16112020092706_WEB.xml
907,EMAMILTD,Emami Limited,7(2),DIWAKAR VINIYOG PRIVATE LIMITED,Promoter Group,Equity Shares,49533849,11.14,,1100000,416735000,Pledge Revoke,Equity Shares,49533849,11.14,11-Nov-2020,11-Nov-2020,12-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,16-Nov-2020 21:23,https://archives.nseindia.com/corporate/xbrl/IT_1083416_364090_16112020092338_WEB.xml
908,EMAMILTD,Emami Limited,7(2),SUNTRACK COMMERCE PRIVATE LIMITED,Promoter Group,Equity Shares,49134107,11.05,,500000,189900000,Pledge Revoke,Equity Shares,49134107,11.05,13-Nov-2020,13-Nov-2020,13-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,16-Nov-2020 21:23,https://archives.nseindia.com/corporate/xbrl/IT_1083416_364090_16112020092338_WEB.xml
909,EMAMILTD,Emami Limited,7(2),BHANU VYAPAAR PRIVATE LIMITED,Promoter Group,Equity Shares,43765902,9.85,,500000,189900000,Pledge Revoke,Equity Shares,43765902,9.85,13-Nov-2020,13-Nov-2020,13-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,16-Nov-2020 21:23,https://archives.nseindia.com/corporate/xbrl/IT_1083416_364090_16112020092338_WEB.xml
910,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Bimal Rameshchandra Desai,Employees/Designated Employees,Equity Shares,31505,0.0,,200,856000,Sell,Equity Shares,31305,0.0,11-Nov-2020,11-Nov-2020,14-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:19,https://archives.nseindia.com/corporate/xbrl/IT_1083414_364087_16112020091949_WEB.xml
911,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Jayant Kothare,Employees/Designated Employees,Equity Shares,1750,0.0,,250,1101000,Sell,Equity Shares,1500,0.0,13-Nov-2020,13-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:19,https://archives.nseindia.com/corporate/xbrl/IT_1083414_364087_16112020091949_WEB.xml
912,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Jayant Kothare,Employees/Designated Employees,Equity Shares,Nil,0.0,,1750,384405,Buy,Equity Shares,1750,0.0,06-Nov-2020,06-Nov-2020,13-Nov-2020,ESOP,-,-,0,0,0,0,,-,16-Nov-2020 21:19,https://archives.nseindia.com/corporate/xbrl/IT_1083414_364087_16112020091949_WEB.xml
913,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Bimal Rameshchandra Desai,Employees/Designated Employees,Equity Shares,31305,0.0,,200,879000,Sell,Equity Shares,31105,0.0,13-Nov-2020,13-Nov-2020,14-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 21:19,https://archives.nseindia.com/corporate/xbrl/IT_1083414_364087_16112020091949_WEB.xml
914,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Dushyant Poddar,Employees/Designated Employees,Equity Shares,1436,0.0,,1438,1938065,Buy,Equity Shares,2874,0.0,13-Nov-2020,13-Nov-2020,16-Nov-2020,ESOP,-,-,0,0,0,0,,-,16-Nov-2020 21:19,https://archives.nseindia.com/corporate/xbrl/IT_1083414_364087_16112020091949_WEB.xml
915,BAJFINANCE,Bajaj Finance Limited,7(2),Ms. Ajita Kakade,Employees/Designated Employees,Equity Shares,23638,0.0,,5256,22825441,Sell,Equity Shares,18382,0.0,13-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,16-Nov-2020 21:02,https://archives.nseindia.com/corporate/xbrl/IT_1083412_364081_16112020090221_WEB.xml
916,BAJFINANCE,Bajaj Finance Limited,7(2),Ms. Ajita Kakade,Employees/Designated Employees,Equity Shares,15000,0.0,,2875,2200439,Buy,Equity Shares,17875,0.0,12-Nov-2020,12-Nov-2020,13-Nov-2020,ESOP,-,-,0,0,0,0,,-,16-Nov-2020 21:02,https://archives.nseindia.com/corporate/xbrl/IT_1083412_364081_16112020090221_WEB.xml
917,BAJFINANCE,Bajaj Finance Limited,7(2),Ms. Ajita Kakade,Employees/Designated Employees,Equity Shares,23638,0.0,,8638,37512588,Pledge Revoke,Equity Shares,23638,0.0,13-Nov-2020,13-Nov-2020,16-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,16-Nov-2020 21:02,https://archives.nseindia.com/corporate/xbrl/IT_1083412_364081_16112020090221_WEB.xml
918,BAJFINANCE,Bajaj Finance Limited,7(2),Ms. Ajita Kakade,Employees/Designated Employees,Equity Shares,23638,0.0,,8638,37131739,Pledge,Equity Shares,23638,0.0,13-Nov-2020,13-Nov-2020,13-Nov-2020,Pledge Creation,-,-,0,0,0,0,,-,16-Nov-2020 21:02,https://archives.nseindia.com/corporate/xbrl/IT_1083412_364081_16112020090221_WEB.xml
919,BAJFINANCE,Bajaj Finance Limited,7(2),Ms. Ajita Kakade,Employees/Designated Employees,Equity Shares,22238,0.0,,1400,4203850,Buy,Equity Shares,23638,0.0,12-Nov-2020,12-Nov-2020,13-Nov-2020,ESOP,-,-,0,0,0,0,,-,16-Nov-2020 21:02,https://archives.nseindia.com/corporate/xbrl/IT_1083412_364081_16112020090221_WEB.xml
920,BAJFINANCE,Bajaj Finance Limited,7(2),Ms. Ajita Kakade,Employees/Designated Employees,Equity Shares,20400,0.0,,1838,3528868,Buy,Equity Shares,22238,0.0,12-Nov-2020,12-Nov-2020,13-Nov-2020,ESOP,-,-,0,0,0,0,,-,16-Nov-2020 21:02,https://archives.nseindia.com/corporate/xbrl/IT_1083412_364081_16112020090221_WEB.xml
921,BAJFINANCE,Bajaj Finance Limited,7(2),Ms. Ajita Kakade,Employees/Designated Employees,Equity Shares,17875,0.0,,2525,3403069,Buy,Equity Shares,20400,0.0,12-Nov-2020,12-Nov-2020,13-Nov-2020,ESOP,-,-,0,0,0,0,,-,16-Nov-2020 21:02,https://archives.nseindia.com/corporate/xbrl/IT_1083412_364081_16112020090221_WEB.xml
922,M&M,Mahindra & Mahindra Limited,7(2),Mr. Ketan Doshi,Employees/Designated Employees,Equity Shares,12119,0.0,,4000,2517727,Sell,Equity Shares,8119,0.0,13-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 20:21,https://archives.nseindia.com/corporate/xbrl/IT_1083411_364074_16112020082155_WEB.xml
923,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,7(2),Jagdeep Singh Sodhi,Employees/Designated Employees,Equity Shares,28000,0.01,,8000,1351271,Sell,Equity Shares,20000,0.0,12-Nov-2020,12-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 18:57,https://archives.nseindia.com/corporate/xbrl/IT_1083407_364071_16112020065745_WEB.xml
924,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,7(2),Chhote Lal Parmar,Employees/Designated Employees,Equity Shares,13825,0.0,,3500,595759,Sell,Equity Shares,10325,0.0,10-Nov-2020,10-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 18:57,https://archives.nseindia.com/corporate/xbrl/IT_1083407_364071_16112020065745_WEB.xml
925,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,7(2),Chhote Lal Parmar,Employees/Designated Employees,Equity Shares,10325,0.0,,5000,906331,Sell,Equity Shares,5325,0.0,13-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 18:57,https://archives.nseindia.com/corporate/xbrl/IT_1083407_364071_16112020065745_WEB.xml
926,AUBANK,AU Small Finance Bank Limited,7(2),Manoj Tibrewal,Employees/Designated Employees,Equity Shares,998708,0.33,,2000,1658005,Sell,Equity Shares,996708,0.33,13-Nov-2020,13-Nov-2020,16-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 18:11,https://archives.nseindia.com/corporate/xbrl/IT_1083405_364067_16112020061130_WEB.xml
927,DMART,Avenue Supermarts Limited,7(2),Mahesh Ramji Nagda,Employees/Designated Employees,Equity Shares,2095,0.0,,75,175527,Sell,Equity Shares,2020,0.0,10-Nov-2020,10-Nov-2020,13-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,16-Nov-2020 17:46,https://archives.nseindia.com/corporate/xbrl/IT_1083402_364064_16112020054611_WEB.xml
